Rank,   Word,Percentage
1,   the,6.682529413
2,   be,3.804133997
3,   and,3.256898687
4,   of,3.136463692
5,   to,3.089533256
6,   a,3.075915382
7,   in,2.210912499
8,   that,1.572725098
9,   have,1.305041441
10,   I,1.206286006
11,   it,1.174209062
12,   for,0.999424769
13,   you,0.93426389
14,   he,0.882141433
15,   on,0.825449161
16,   with,0.81354114
17,   do,0.780360782
18,   as,0.729963641
19,   say,0.580706456
20,   this,0.573351876
21,   they,0.565679523
22,   his,0.552274509
23,   we,0.552142306
24,   but,0.545105499
25,   at,0.535981636
26,   not,0.500349448
27,   from,0.496040401
28,   n't,0.490913875
29,   by,0.461835465
30,   she,0.450240669
31,   or,0.418236195
32,   her,0.414664577
33,   one,0.358823744
34,   what,0.358108753
35,   go,0.34901885
36,   there,0.338987149
37,   their,0.328395099
38,   about,0.328372964
39,   all,0.324268286
40,   can,0.313374836
41,   who,0.308762874
42,   get,0.300974084
43,   so,0.28758605
44,   when,0.287101506
45,   more,0.284330387
46,   if,0.283067782
47,   would,0.280633842
48,   out,0.279278756
49,   my,0.278907313
50,   know,0.270633676
51,   up,0.267224887
52,   make,0.259909725
53,   will,0.257408471
54,   like,0.249181833
55,   think,0.234323793
56,   year,0.23325252
57,   time,0.231858621
58,   me,0.215171261
59,   just,0.211588423
60,   people,0.209666317
61,   which,0.208002857
62,   them,0.205543144
63,   him,0.205493719
64,   some,0.204428207
65,   take,0.203382708
66,   into,0.202602525
67,   see,0.201229852
68,   your,0.200010001
69,   than,0.192688473
70,   come,0.190498624
71,   now,0.189549245
72,   could,0.187368796
73,   other,0.186884859
74,   look,0.169166249
75,   then,0.164944226
76,   no,0.164460592
77,   its,0.163653119
78,   how,0.16340266
79,   our,0.159222482
80,   use,0.156868895
81,   because,0.156356455
82,   want,0.156149356
83,   these,0.155813389
84,   back,0.155267291
85,   two,0.154953156
86,   over,0.154219973
87,   work,0.153350947
88,   only,0.150782984
89,   right,0.150028878
90,   first,0.145817468
91,   way,0.144637036
92,   well,0.143421127
93,   also,0.140877422
94,   after,0.137719395
95,   most,0.134461305
96,   even,0.133463108
97,   new,0.132201413
98,   day,0.131225048
99,   very,0.128452109
100,   here,0.125021791
101,   man,0.124247066
102,   where,0.123765251
103,   thing,0.121507178
104,   find,0.119833105
105,   tell,0.117696017
106,   many,0.116844881
107,   give,0.116588661
108,   those,0.114618949
109,   through,0.113027655
110,   much,0.112353599
111,   good,0.111958202
112,   down,0.11190059
113,   call,0.111461225
114,   any,0.107173404
115,   need,0.10661821
116,   us,0.106456594
117,   woman,0.103525678
118,   before,0.10182856
119,   child,0.101229399
120,   life,0.10099774
121,   such,0.098907044
122,   may,0.098415526
123,   state,0.097081665
124,   last,0.096871534
125,   still,0.094380286
126,   long,0.094084041
127,   should,0.09407828
128,   school,0.092234101
129,   world,0.092028822
130,   show,0.089408705
131,   try,0.089153395
132,   mean,0.088231002
133,   American,0.087336506
134,   off,0.087319829
135,   ask,0.086305864
136,   little,0.086060863
137,   feel,0.085554184
138,   too,0.085021428
139,   own,0.083394051
140,   talk,0.082686641
141,   home,0.081403417
142,   three,0.080881881
143,   around,0.080824572
144,   high,0.080264223
145,   between,0.080097756
146,   while,0.080090479
147,   really,0.079872161
148,   place,0.079853968
149,   never,0.079620489
150,   help,0.078777237
151,   become,0.07856468
152,   another,0.077347255
153,   student,0.077335127
154,   something,0.077293585
155,   turn,0.077119538
156,   both,0.076623168
157,   each,0.075860875
158,   leave,0.074461216
159,   hand,0.073827185
160,   family,0.073763205
161,   point,0.072912372
162,   let,0.072863554
163,   start,0.072173124
164,   put,0.072008476
165,   old,0.071734669
166,   change,0.071441153
167,   why,0.071390516
168,   part,0.070730104
169,   keep,0.070274063
170,   play,0.069737365
171,   group,0.069569078
172,   big,0.068881984
173,   great,0.068225818
174,   country,0.067659708
175,   same,0.067568135
176,   seem,0.066595105
177,   study,0.066394678
178,   run,0.06629886
179,   begin,0.066288854
180,   problem,0.066019292
181,   every,0.064506532
182,   question,0.063674196
183,   might,0.063390686
184,   end,0.062827911
185,   again,0.06273452
186,   case,0.062634154
187,   move,0.062494976
188,   far,0.062036812
189,   against,0.06197162
190,   company,0.061658092
191,   program,0.061553481
192,   next,0.061258146
193,   head,0.061186283
194,   system,0.060696887
195,   week,0.060421867
196,   few,0.059814823
197,   since,0.059791475
198,   face,0.059668671
199,   away,0.059648659
200,   hear,0.059452173
201,   live,0.058675628
202,   government,0.058010062
203,   during,0.057832679
204,   Mr,0.057173481
205,   hold,0.057111927
206,   under,0.05648578
207,   number,0.056400272
208,   small,0.056235927
209,   night,0.055947263
210,   kind,0.055945747
211,   early,0.055724397
212,   today,0.055708629
213,   happen,0.055402378
214,   always,0.054419948
215,   open,0.054298964
216,   believe,0.054093381
217,   million,0.053637946
218,   issue,0.053280754
219,   large,0.053248613
220,   name,0.052915981
221,   bring,0.052871105
222,   set,0.052302266
223,   room,0.052296808
224,   without,0.052289531
225,   report,0.051945074
226,   love,0.051903836
